Id;Ime;Obdobje;Narodnost;Smer;Kraj
2283;MORAZZONE;Baroque;Italian;painter;Lombardy
664;CANAL, Bernardo;Baroque;Italian;painter;Venice
3047;PREYER, Johann Wilhelm;Romanticism;German;painter;
1947;KOLBE, Carl Wilhelm;Neoclassicism;German;painter;
384;BENING, Alexander;Northern Renaissance;Flemish;illuminator;Ghent
2512;MATTEIS, Paolo de;Rococo;Italian;painter;
672;CANUTI, Domenico Maria;Baroque;Italian;painter;Bologna
207;BREGNO, Andrea;Early Renaissance;Italian;sculptor;
371;BELLIS, Antonio de;Baroque;Italian;painter;Naples
2642;MOITTE, Jean-Guillaume;Neoclassicism;French;sculptor;
3592;STORCK, Abraham;Baroque;Dutch;painter;Amsterdam
3835;VACCARO, Andrea;Baroque;Italian;painter;Naples
3289;RUISDAEL, Jacob Isaackszon van;Baroque;Dutch;painter;Amsterdam
1475;GERHAERT VAN LEYDEN, Nicolaus;Northern Renaissance;Netherlandish;sculptor;Germany
1703;HEINTZ, Joseph the Younger;Baroque;Swiss;painter;Venice
3996;VOORT, Michiel van der, the Elder;Baroque;Flemish;sculptor;Antwerp
1695;HEEMSKERCK, Maerten van;Northern Renaissance;Dutch;painter;Haarlem
797;CHAUDET, Antoine-Denis;Neoclassicism;French;sculptor;
2530;MAZZA, Giuseppe Maria;Baroque;Italian;sculptor;Bologna
3646;TARAVAL, Guillaume-Thomas-Raphaël;Baroque;French;painter;Stockholm
3180;RIJCK, Pieter Cornelisz van;Baroque;Dutch;painter;Haarlem
1385;FRIEDRICH, Caspar David;Romanticism;German;painter;
3830;URY, Lesser;Impressionism;German;painter;Berlin
3055;PROVOST, Jan;Northern Renaissance;Flemish;painter;Bruges
3999;VOS, Marten de;Mannerism;Flemish;painter;Antwerp
127;ASAM, Egid Quirin;Baroque;German;sculptor;
132;ASPETTI, Tiziano;Mannerism;Italian;sculptor;Venice
3303;RUTHART, Carl Borromäus Andreas;Baroque;German;painter;
895;CONTI, Domenico;Neoclassicism;Italian;painter;Rome
1592;GOVAERTS, Abraham;Baroque;Flemish;painter;Antwerp
2578;MÉSZÖLY, Géza;Realism;Hungarian;painter;
3606;STRIJ, Abraham van, I;Baroque;Dutch;painter;Dordrecht
2785;OTTONI, Lorenzo;Baroque;Italian;sculptor;
2786;OUDINÉ, Eugène André;Realism;French;sculptor;Paris
663;CAMUCCINI, Vincenzo;Neoclassicism;Italian;painter;Rome
1640;GRUBACS, Carlo;Romanticism;Italian;painter;Venice
110;ANTONIO VENEZIANO;Medieval;Italian;painter;Venice
763;CECCO BRAVO;Baroque;Italian;painter;Florence
3644;TAMM, Franz Werner von;Baroque;German;painter;
801;CHERNETSOV, Grigory Grigorievich;Realism;Russian;painter;St. Petersburg
1214;ESTEVE Y MARQUES, Agustín;Neoclassicism;Spanish;painter;Madrid
3314;SABATELLI, Luigi;Neoclassicism;Italian;painter;
2939;PIERO DELLA FRANCESCA;Early Renaissance;Italian;painter;
2411;MASTER ALPAIS;Medieval;French;goldsmith;Limoges
3232;ROLLI, Gioseffo Maria;Baroque;Italian;painter;Bologna
752;CAVALORI, Mirabello;Mannerism;Italian;painter;Florence
2287;MOREAU, Gustave;Realism;French;painter;Paris
871;COLLANTES, Francisco;Baroque;Spanish;painter;Madrid
4018;WAGNER, Veit;Northern Renaissance;German;sculptor;Strasbourg
2803;PADOVANINO;Baroque;Italian;painter;Venice
2927;PIAZZETTA, Giovanni Battista;Baroque;Italian;painter;Venice
2146;LLANOS, Fernando;High Renaissance;Spanish;painter;Valencia
2435;MASTER of Flémalle;Northern Renaissance;Flemish;painter;Tournai
3507;SLEVOGT, Max;Impressionism;German;painter;
4000;VOS, Paul de;Baroque;Flemish;painter;
