Id_slike;Id_slikarja;Linki
10447;1284;http://www.wga.hu/html/d/durer/2/13/2/050.html
28179;3405;http://www.wga.hu/html/r/raphael/2firenze/1/32prato.html
9606;1217;http://www.wga.hu/html/d/dorigny/michel/hercules.html
25784;3105;http://www.wga.hu/html/p/palamede/anthonie/port_gen.html
35342;4178;http://www.wga.hu/html/zzzarchi/13c/2/3wells1.html
6129;792;http://www.wga.hu/html/c/cats/autumn.html
17479;2033;http://www.wga.hu/html/j/jacobell/crucifix.html
22529;2777;http://www.wga.hu/html/m/michelan/1sculptu/medici/4decora2.html
17970;2130;http://www.wga.hu/html/k/keyser/thomas/portrai2.html
5842;751;http://www.wga.hu/html/c/carpacci/5/06mark3.html
7672;1008;http://www.wga.hu/html/c/courbet/2/courb216.html
34027;4076;http://www.wga.hu/html/t/tiepolo/gianbatt/7_1760s/11immacu.html
29583;3484;http://www.wga.hu/html/r/ricci/sebastia/3/maruce13.html
29136;3457;http://www.wga.hu/html/r/rembrand/53drawin/4/093real.html
13059;1644;http://www.wga.hu/html/g/giordano/1/holyfami.html
19243;2369;http://www.wga.hu/html/l/lippi/flippino/2/2appari.html
1703;217;http://www.wga.hu/html/b/barocci/nativity.html
21631;2652;http://www.wga.hu/html/m/master/hausbuch/resurrec.html
4248;584;http://www.wga.hu/html/b/brekelen/two_men.html
25686;3089;http://www.wga.hu/html/p/paal/12paal.html
19247;2369;http://www.wga.hu/html/l/lippi/flippino/2/3mad_ch.html
23143;2797;http://www.wga.hu/html/m/mignard/pierre/presenta.html
4129;562;http://www.wga.hu/html/b/bramer/2/livy2.html
24547;2886;http://www.wga.hu/html/m/mor/41orange.html
32858;3922;http://www.wga.hu/html/s/spinazzi/faith.html
25552;3069;http://www.wga.hu/html/o/ortolano/mourning.html
12401;1586;http://www.wga.hu/html/g/gelder/lairesse.html
7505;990;http://www.wga.hu/html/c/cortona/2/5apollo3.html
17292;1985;http://www.wga.hu/html/h/houdon/serilly.html
4913;634;http://www.wga.hu/html/b/buglioni/santi/ceppo5.html
11393;1439;http://www.wga.hu/html/f/fontana/lavinia/gonzalez.html
5764;751;http://www.wga.hu/html/c/carpacci/1ursula/2/80martyr.html
4947;646;http://www.wga.hu/html/b/burgkmai/patmos1.html
6916;889;http://www.wga.hu/html/c/claude/3/08seapor.html
7471;990;http://www.wga.hu/html/c/cortona/1/02barber.html
12258;1576;http://www.wga.hu/html/g/gauguin/04/tahiti19.html
