Id_slikarja;Ime;Narodnost;Obdobje
3364;PROVOST, Jan;Flemish;1501-1550
3443;REGNAULT, Henri;French;1851-1900
1278;DUVET, Jean;French;1501-1550
3817;SEISENEGGER, Jacob;Austrian;1551-1600
1522;GABRIEL, Ange-Jacques;French;1701-1750
4116;TORRICELLI, Giuseppe Antonio;Italian;1701-1750
3994;SUSINI, Antonio;Italian;1601-1650
3233;PICHORE, Jean;French;1501-1550
60;ALTOBELLO, Francesco Antonio;Italian;1651-1700
3792;SCHREYER, Christian Adolf;German;1851-1900
961;COOPER, Thomas Sidney;English;1801-1850
1826;GÜNTHER, Matthäus;German;1751-1800
982;COROT, Jean-Baptiste Camille;French;1801-1850
2826;MINIATURIST, Italian;Italian;1001-1050
3169;PEETERS, Bonaventura I;Flemish;1601-1650
3011;NONNOTTE, Donat;French;1701-1750
1066;CUGNOT, Louis-Léon;French;1851-1900
308;BELLIS, Antonio de;Italian;1601-1650
4138;TRINQUESSE, Louis-Rolland;French;1751-1800
2265;LE ROUX, Roullant;French;1501-1550
45;ALGARDI, Alessandro;Italian;1601-1650
4445;VREDEMAN DE VRIES, Hans;Dutch;1551-1600
284;BEGAS, Carl the Elder;German;1801-1850
3483;RICCI, Sebastiano;Italian;1701-1750
1665;GIOVANNI D'ALEMAGNA;German;1401-1450
2336;LEYSTER, Judith;Dutch;1601-1650
3755;SCHALCKEN, Godfried;Dutch;1651-1700
1117;DAVID, Jacques-Louis;French;1801-1850
3723;SANVITO, Bartolomeo;Italian;1451-1500
991;COSMA, Giovanni di;Italian;1251-1300
2993;NICKELEN, Isaak van;Dutch;1651-1700
3993;SUSENIER, Abraham;Dutch;1651-1700
168;BACCIO d'Agnolo;Italian;1501-1550
2435;LUCAS DE MONTIGNY, Jean-Robert-Nicolas;French;1751-1800
1917;HESS, Heinrich Maria von;German;1801-1850
4046;TERBRUGGHEN, Hendrick;Dutch;1601-1650
748;CAROSELLI, Angelo;Italian;1601-1650
1581;GEERTGEN tot Sint Jans;Netherlandish;1451-1500
1881;HEDA, Willem Claesz.;Dutch;1601-1650
4477;WEEKES, Henry;English;1801-1850
2932;MUNKÁCSY, Mihály;Hungarian;1851-1900
142;ASSCHE, Henri van;Belgian;1801-1850
649;BURY, Friedrich;German;1801-1850
1201;DOMENICO DI AGOSTINO;Italian;1351-1400
4100;TOLSTOY, Fyodor Petrovich;Russian;1801-1850
2981;NEYTS, Gillis;Flemish;1651-1700
4177;UNKNOWN ARCHITECT, English;English;1151-1200
4595;ZOPPO, Marco;Italian;1451-1500
3018;NOTTOLINI, Lorenzo;Italian;1801-1850
3358;PROCACCINI, Camillo;Italian;1551-1600
853;CHERNETSOV, Grigory Grigorievich;Russian;1801-1850
78;ANDREA DEL SARTO;Italian;1501-1550
977;CORNELISZ VAN OOSTSANEN, Jacob;Netherlandish;1501-1550
1365;FEDDES, Pieter;Dutch;1601-1650
4148;TROYEN, Rombout van;Dutch;1601-1650
3687;SALMON, Robert;American;1801-1850
2613;MASTER of Heiligenkreuz;Austrian;1401-1450
2439;LUCHIAN, ?tefan;Other;1851-1900
1065;CRUZ, Diego de la;Spanish;1451-1500
26;AGOSTINO DI DUCCIO;Italian;1451-1500
3880;SMERALDI, Francesco;Italian;1601-1650
265;BEAUFORT, Jacques-Antoine;French;1751-1800
3536;ROBUSTI, Marietta;Italian;1551-1600
2042;JACOPO DA MONTAGNANA;Italian;1451-1500
3216;PETROVI?, Nadežda;Other;1851-1900
4056;THEOPHANES the Greek;Greek;1351-1400
678;CAIRO, Francesco del;Italian;1601-1650
919;COELEMANS, Jacobus;Flemish;1651-1700
1168;DEVÉRIA, Eug?ne-François-Marie-Joseph;French;1801-1850
666;CACCIA, Orsola Maddalena;Italian;1601-1650
71;AMMANATI, Bartolomeo;Italian;1551-1600
2763;METCALF, Willard Leroy;American;1851-1900
4174;ULFT, Jacob van der;Dutch;1651-1700
3466;RESCHI, Pandolfo;Polish;1651-1700
2440;LUINI, Aurelio;Italian;1551-1600
3013;NOOMS, Reiner;Dutch;1601-1650
1538;GALLE, Philip;Flemish;1551-1600
3899;SOLÍS, Francisco de;Spanish;1651-1700
1867;HARTMANN, Johannes Jakob;Bohemian;1701-1750
3440;REDOUTÉ, Pierre-Joseph;French;1751-1800
3722;SANTVOORT, Dirck Dircksz.;Dutch;1601-1650
2948;NANNI DI BARTOLO;Italian;1401-1450
1535;GALLAIT, Louis;Belgian;1801-1850
4036;TELEPY, Károly;Hungarian;1851-1900
537;BOULLOGNE, Louis the Younger;French;1651-1700
1408;FINOGLIA, Paolo Domenico;Italian;1601-1650
200;BANDINELLI, Baccio;Italian;1501-1550
558;BRAMANTE, Donato;Italian;1451-1500
54;ALSLOOT, Denis van;Flemish;1601-1650
3489;RICHTER, Adrian Ludwig;German;1801-1850
2515;MARATTI, Carlo;Italian;1651-1700
464;BONASONE, Giulio;Italian;1501-1550
1951;HOGHENZOON, Jan Geldolfs;Netherlandish;1551-1600
2609;MASTER of Female Half-lengths;Flemish;1501-1550
3620;ROTTMANN, Carl;German;1801-1850
414;BLECHEN, Karl;German;1801-1850
3012;NONO, Luigi;Italian;1851-1900
426;BLOEMEN, Pieter van;Flemish;1651-1700
4575;ZARYANKO, Sergey Konstantinovich;Russian;1801-1850
785;CASTILLO, Juan del;Spanish;1601-1650
296;BELLANGÉ, Hippolyte;French;1801-1850
2352;LIGETI, Antal;Hungarian;1851-1900
2108;KAUW, Albrecht;Swiss;1651-1700
4274;VALESIO, Giovanni Luigi;Italian;1601-1650
4551;WRIGHT, Joseph;English;1751-1800
3808;SEBASTIANO DEL PIOMBO;Italian;1501-1550
586;BRETON, Jules;French;1851-1900
4558;WYNANTS, Jan;Dutch;1651-1700
4257;UTRECHT, Adriaen van;Flemish;1601-1650
3813;SEGHERS, Daniel;Flemish;1601-1650
30;AKEN, Joseph van;Flemish;1701-1750
700;CAMPA?A, Pedro de;Spanish;1501-1550
2904;MORISOT, Berthe;French;1851-1900
2860;MOLYN, Pieter de;Dutch;1601-1650
4010;SYRLIN, Jörg the Elder;German;1451-1500
850;CHAUVIN, Pierre-Athanase;French;1801-1850
1011;COURTOIS, Guillaume;French;1651-1700
3619;ROTTENHAMMER, Hans I;German;1551-1600
3830;SERRA, Pere;Catalan;1351-1400
2966;NEEFFS, Peeter the Younger;Flemish;1651-1700
2186;KRUL, Jan Harmensz.;Dutch;1601-1650
2645;MASTER of the Duke of Bedford;French;1401-1450
3385;QUARENGHI, Giacomo;Italian;1751-1800
4101;TOMA, Gioacchino;Italian;1851-1900
2976;NETSCHER, Constantijn;Dutch;1701-1750
4530;WIRRICH, Heinrich;Swiss;1551-1600
120;APOLLONIO DI GIOVANNI;Italian;1451-1500
1464;FRANCESCO DA MILANO;Italian;1351-1400
392;BIGAGLIA, Pietro;Italian;1801-1850
1705;GONZAL?S, Eva;French;1851-1900
2745;MENEGHELLO di Giovanni de' Canali;Italian;1401-1450
3791;SCHÖPFER, Hans the Elder;German;1501-1550
304;BELLINI, Gentile;Italian;1451-1500
2411;LÓPEZ Y PIQUER, Luis;Spanish;1801-1850
3407;RAGGI, Nicolas-Bernard;Italian;1801-1850
3799;SCHWARZ, Hans;German;1501-1550
3628;ROY, Peter van;Flemish;1701-1750
3406;RAGGI, Antonio;Italian;1651-1700
2416;LORENZETTI, Ambrogio;Italian;1301-1350
3113;PALMER, Samuel;English;1801-1850
94;ANGERMAYER, Johann Adalbert;Bohemian;1701-1750
3602;ROSSELLI, Cosimo;Italian;1451-1500
1209;DONCKT, François van der;Flemish;1801-1850
3479;RIBOT, Théodule-Augustin;French;1851-1900
2965;NEEFFS, Peeter the Elder;Flemish;1601-1650
3255;PIETRO DI GIOVANNI D'AMBROGIO;Italian;1401-1450
527;BOUDEWIJNS, Adriaen Frans;Flemish;1651-1700
313;BELVEDERE, Andrea;Italian;1651-1700
4566;ZAGANELLI, Bernardino di Bosio;Italian;1451-1500
2397;LONGHI, Pietro;Italian;1701-1750
2977;NEUFCHATEL, Nicolas;Flemish;1551-1600
4319;VERBOECKHOVEN, Eug?ne-Joseph;Belgian;1801-1850
2372;LIPPO DI DALMASIO;Italian;1351-1400
1715;GOSSART, Jan;Flemish;1501-1550
1677;GIRALDI, Guglielmo;Italian;1451-1500
4073;TIELING, Lodewijk;Dutch;1651-1700
3426;RAUCHMILLER, Matthias;German;1651-1700
2638;MASTER of the Cassoni Campana;Italian;1501-1550
2083;JONSON VAN CEULEN, Cornelius the Elder;Flemish;1601-1650
4330;VERESHCHAGIN, Petr Petrovich;Russian;1851-1900
3825;SERMARTELLI, Bartolomeo;Italian;1551-1600
3072;OS, Pieter Gerardus van;Dutch;1801-1850
1314;ERIKSEN, Vigilius;Danish;1751-1800
2787;MIELICH, Hans;German;1501-1550
705;CAMPI, Vincenzo;Italian;1551-1600
3198;PERRIER, François;French;1601-1650
3709;SANGALLO, Antonio da, the Elder;Italian;1451-1500
324;BENOIST, Marie-Guillemine;French;1801-1850
507;BOSSCHAERT, Abraham;Dutch;1601-1650
1036;CRABETH, Dirck Pietersz.;Netherlandish;1551-1600
206;BARBARI, Jacopo de';Italian;1501-1550
3903;SON, Joris van;Flemish;1651-1700
2949;NANTEUIL, Charles-François;French;1801-1850
2921;MOSTAERT, Jan;Dutch;1501-1550
2462;MADERNO, Stefano;Italian;1601-1650
2187;KRUMPER, Hans;German;1601-1650
2422;LORENZO DI ALESSANDRO DA SANSEVERINO;Italian;1451-1500
1659;GIOVANNI DA RIMINI;Italian;1301-1350
3047;OLIVIERI, Pier Paolo;Italian;1551-1600
2513;MÁNYOKI, Ádám;Hungarian;1701-1750
4156;TUBY, Jean-Baptiste;French;1651-1700
3653;RUXTHIEL, Henri-Joseph;French;1801-1850
87;ÁNGEL, Pedro;Spanish;1601-1650
2021;ISENBRANT, Adriaen;Flemish;1501-1550
2943;MÜLLER, William James;English;1801-1850
923;COESSAET, Jan;Flemish;1551-1600
598;BROEDERLAM, Melchior;Flemish;1351-1400
3845;SICIOLANTE DA SERMONETA, Girolamo;Italian;1551-1600
3099;PAGANI, Gregorio;Italian;1551-1600
4208;UNKNOWN GOLDSMITH, Norwegian;Norwegian;1051-1100
641;BUORA, Giovanni di Antonio;Italian;1451-1500
