Ime,Obdobje,Narodnost,Smer,Kraj
"RING, Ludger tom, the Elder",Northern Renaissance,German,painter,Münster
"BELLIS, Antonio de",Baroque,Italian,painter,Naples
MASTER of the Hartford Still-life,Baroque,Italian,painter,Rome
"DAVIS, Richard Barrett",Romanticism,English,painter,London
"BONAVIA, Carlo",Rococo,Italian,painter,Naples
"KLINGER, Max",Realism,German,painter,
"ARGUNOV, Ivan Petrovich",Rococo,Russian,painter,
"SCHÖNBERGER, Lorenz Adolf",Rococo,Austrian,painter,
"GREBBER, Frans Pietersz. de",Baroque,Netherlandish,painter,Haarlem
"BIANCHI, Pietro",Baroque,Italian,painter,Rome
"BRAY, Dirck de",Baroque,Dutch,painter,Haarlem
"PACETTI, Vincenzo",Neoclassicism,Italian,sculptor,Rome
FILARETE,Early Renaissance,Italian,sculptor,Milan
"ZUCCARELLI, Francesco",Baroque,Italian,painter,Venice
"LANDI, Gaspare",Neoclassicism,Italian,painter,
"TROY, François de",Baroque,French,painter,
"CASSATT, Mary",Impressionism,American,painter,Paris
"RICO Y ORTEGA, Martín",Realism,Spanish,painter,Venice
"BÉLIARD, Edouard",Impressionism,French,painter,
"SAINT-AUBIN, Gabriel de",Rococo,French,painter,Paris
"VREDEMAN DE VRIES, Hans",Mannerism,Dutch,painter,Antwerp
"APPIANI, Andrea",Neoclassicism,Italian,painter,
"MARTÍNEZ, Jusepe",Baroque,Spanish,painter,
"GALLOCHE, Louis",Baroque,French,painter,Paris
GAROFALO,High Renaissance,Italian,painter,Ferrara
"FLORIS, Cornelis",Mannerism,Flemish,sculptor,Antwerp
"CARLONE, Diego Francesco",Baroque,Italian,sculptor,Austria
"RYCKAERT, David the Younger",Baroque,Flemish,painter,Antwerp
"WOLFFORT, Artus",Baroque,Flemish,painter,Antwerp
"MARILHAT, Prosper",Romanticism,French,painter,
"HOLLÓSY, Simon",Realism,Hungarian,painter,
"LEVECQ, Jacobus",Baroque,Dutch,painter,Dordrecht
"BURLAMACCHI, Eufrasia",Early Renaissance,Italian,illuminator,Lucca
"MASIP, Vicente",High Renaissance,Spanish,painter,Valencia
"SOEST, Gerard",Baroque,Dutch,painter,London
"CIPPER, Giacomo Francesco",Baroque,Austrian,painter,Milan
MASTER of the Polling Panels,Northern Renaissance,German,painter,Upper Bavaria
"TRÜBNER, Wilhelm",Impressionism,German,painter,
"ASSTEYN, Bartholomeus",Baroque,Dutch,painter,Dordrecht
"BERCHEM, Nicolaes (Claesz.)",Baroque,Dutch,painter,Haarlem
"VERKOLJE, Johannes I",Baroque,Dutch,painter,Delft
"VINNE, Vincent I Laurensz. van der",Baroque,Dutch,painter,Haarlem
