Ime_slikarja,Narodnost,Smer,Letnice_kraj
"OS, Jan van",Dutch,painter,"b. 1744, Middelharnis, d. 1808, Den Haag"
FRANCESCO DAL PRATO,Italian,goldsmith,"b. 1512, Caravaggio, d. 1562, Firenze"
"SCHOR, Johann Paul",Austrian,painter,"b. 1615, Innsbruck, d. 1674, Roma"
"BUYTEWECH, Willem Pietersz.",Dutch,painter,"b. 1591/92, Rotterdam, d. 1625, Rotterdam"
"DREVET, Pierre",French,engraver,"b. 1663, Loire, d. 1738, Paris"
SCARSELLINO,"Italian painter, Ferrarese",school,"b. ca. 1550, Ferrara, d. 1620, Ferrara"
"SCACCIATI, Andrea",Italian,painter,"b. 1642, Firenze, d. 1710, Firenze"
"VAFFLARD, Pierre-Auguste",French,painter,"b. 1777, Paris, d. 1837, Paris"
"LASSALLE-BORDES, Gustave",French,painter,"b. 1814, Auch, d. 1886, Auch"
"MENGS, Anton Raphael",German,painter,"b. 1728, Aussig, d. 1779, Roma"
"PAGANINO, Giovanni Antonio",Italian decorative,painter,active 1574-1587
"LASTMAN, Pieter Pietersz.",Dutch,painter,"b. 1583, Amsterdam, d. 1633, Amsterdam"
"CAMBIASO, Luca","Italian painter, Genoese",school,"b. 1527, Genova, d. 1585, Madrid"
"OPPENORDT, Alexandre-Jean",French,cabinet-maker,"b. 1639, Gelderland, d. 1715, Paris"
"GADDI, Gaddo",Italian,painter,"b. ca. 1260, Firenze, d.  ca. 1333, Firenze"
"BERCKENRODE, Balthasar Florisz. van",Dutch,printmaker,"b. ca. 1591, Delft, d. ca. 1645, Delft"
"NOCRET, Jean",French,painter,"b. 1617, Nancy, d. 1672, Paris"
"VERHAGHEN, Pieter Jozef",Flemish,painter,"b. 1728, Aarschot, d. 1811, Leuven"
"GAMBELLO, Antonio di Marco",Italian,architect,"active 1458, d. 1481, Venezia"
"WARD, James",English,painter,"b. 1769, London, d. 1859, Cheshunt"
"MADERNO, Stefano","Italian sculptor, Roman",school,"b. 1575, Roma, d. 1636, Roma"
"COLLANTES, Francisco","Spanish painter, Madrid",school,"b. 1599, Madrid, d. 1656, Madrid"
"DOBSON, William",English,painter,"b. 1610, London, d. 1646, London"
"GRASDORP, Willem",Dutch,painter,"b. 1678, Zwolle, d. 1723, Amsterdam"
"PISANO, Andrea",Italian,sculptor,active c. 1290-1349 in Pisa
"GÜNTHER, Matthäus",German,painter,"b. 1705, Tritschengreith, d. 1788, Haid bei Wessobrunn"
"DESCOURTIS, Charles-Melchior",French,printmaker,"b. 1753, Paris, d. 1820, Paris"
"ROTTMANN, Carl",German,painter,"b. 1797, Handschuhsheim, d. 1850, München"
CRONACA,Italian,architect,"b. 1457, Firenze, d. 1508, Firenze"
PORDENONE,"Italian painter, Venetian",school,"b. ca. 1484, Pordenone, d. 1539, Ferrara"
"SILO, Adam",Dutch,painter,"b. ca. 1674, Amsterdam, d. 1772, Amsterdam"
"ZEILLER, Jakob Johann",German,painter,"b. 1708, Reutte, d. 1783, Reutte"
"SERPOTTA, Giacomo","Italian sculptor, Sicilian",school,"b. 1652, Palermo, d. 1732, Palermo"
"DECKER, Coenraet",Dutch,engraver,"b. 1651, Amsterdam, d. 1685, Amsterdam"
"BOUT, Pieter",Flemish,painter,"b. 1658, Bruxelles, d. 1719, Bruxelles"
"EYCK, Gaspard van",Flemish,painter,"b. 1613, Antwerpen, d. 1673, Bruxelles"
